Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10986-1","Duplo","",2023,"Family House on Wheels",,,17.99,19.99,24.99,19.99,,,28.2,26.2,11.8,,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2023","31/12/2025"
"5005530-1","Gear","Bags",2018,"Brick Lunch Bag Pink",,,24.99,24.99,29.99,29.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5005814-1","Gear","Bags",2020,"Gold Metallic Brick Backpack",,,,80,80,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006259-1","Gear","Storage",2020,"Storage Head Mini (Girl)",,,6.99,8.99,12.99,7.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007009-1","Gear","Storage",2022,"8 Stud Mini Box Green",,,,3.99,4.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007491-1","Gear","Plush",2022,"Lord Voldemort Plush",,,,26.99,32.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006490-1","Gear","Bags",2021,"Navy Micro Knob Bag",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006931-1","Gear","Storage",2022,"4 Stud Storage Brick White",,,21.99,24.99,27.99,24.99,5706773400355,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007185-1","Gear","Housewares",2022,"Mermaid 46 in x 60 in Throw",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006181-1","Gear","Storage",2022,"4 Stud Brick Drawer Light Blue",,,24.99,29.99,32.99,29.99,5711938029470,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007456-1","Gear","Plush",2022,"Rey Plush",,,,26.99,32.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10983-1","Duplo","",2023,"Organic Market",,,24.99,29.99,39.99,29.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10982-1","Duplo","",2023,"Fruit and Vegetable Tractor",,19,17.99,19.99,24.99,19.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007008-1","Gear","Storage",2022,"8 Stud Mini Box Yellow",,,,3.99,4.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007073-1","Gear","Storage",2022,"4 Stud Brick Drawer Gray",,,21.99,24.99,27.99,24.99,5711938015565,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007183-1","Gear","Housewares",2022,"City Police 46 in x 60 in Throw",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007237-1","Gear","Stationery",2022,"Notebook with Gel Pen Blue",,,14.99,19.99,19.99,16.99,4895028522575,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007247-1","Gear","Stationery",2022,"Notebook with Gel Pen Black",,,14.99,19.99,19.99,16.99,4895028524470,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006360-1","Gear","Bags",2020,"Minifigure Packable Patch Backpack",,,,29.99,39.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007184-1","Gear","Housewares",2022,"Butterfly 46 in x 60 in Throw",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007239-1","Gear","Stationery",2022,"Notebook with Gel Pen Red",,,14.99,19.99,19.99,16.99,4895028524395,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007181-1","Gear","Housewares",2022,"Fire Chief 46 in x 60 in Throw",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006489-1","Gear","Bags",2021,"Medium Azur Small Brick Backpack",,,44.99,39.99,39.99,49.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006973-1","Gear","Storage",2023,"Sorting Box Green",,,,6.99,6.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006494-1","Gear","Bags",2021,"Lime Green Micro Knob Bag",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007267-1","Gear","Storage",2022,"4 Stud Storage Brick Light Purple",,,21.99,24.99,27.99,24.99,5706773400386,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10935-1","Duplo","",2023,"Alphabet Town",,,44.99,49.99,64.99,49.99,,,54,28.2,11.8,,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2023","31/12/2024"
"5006493-1","Gear","Bags",2021,"Medium Azur Micro Knob Bag",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007006-1","Gear","Storage",2022,"8 Stud Mini Box Pink",,,,3.99,4.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007126-1","Gear","Storage",2022,"8 Stud Storage Brick Light Purple",,,34.99,39.99,43.99,37.99,5706773400485,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007245-1","Gear","Stationery",2022,"Notebook with Gel Pen Lavender",,,14.99,19.99,19.99,16.99,4895028524388,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006358-1","Gear","Bags",2022,"Brick Backpack 1 Stud Red",,,44.99,39.99,44.99,49.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006933-1","Gear","Storage",2022,"4 Stud Storage Brick Dark Gray",,,21.99,24.99,27.99,24.99,5711938034276,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007268-1","Gear","Storage",2022,"8 Stud Storage Brick Stone Gray",,,34.99,39.99,42.99,37.99,5711938015688,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006963-1","Gear","Storage",2022,"4 Stud Green Mini Box",,,,3.99,4.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007007-1","Gear","Storage",2022,"8 Stud Mini Box Light Blue",,,,3.99,4.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007243-1","Gear","Stationery",2022,"Notebook with Gel Pen Green",,,14.99,19.99,19.99,16.99,4895028524432,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007244-1","Gear","Stationery",2022,"Notebook with Gel Pen Azure",,,14.99,19.99,19.99,16.99,4895028524449,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006936-1","Gear","Storage",2022,"4 Stud Storage Brick Azure Blue",,,,24.99,27.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007241-1","Gear","Stationery",2022,"Notebook with Gel Pen Yellow",,,14.99,19.99,19.99,16.99,4895028524418,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006355-1","Gear","Bags",2021,"Blue Small Brick Backpack",,,44.99,39.99,44.99,49.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006498-1","Gear","Bags",2021,"Backpack Panda",,,,39.99,39.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006961-1","Gear","Storage",2022,"4 Stud Yellow Mini Box",,,,3.99,4.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006495-1","Gear","Bags",2021,"Backpack Monkey",,,39.99,39.99,39.99,44.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006492-1","Gear","Bags",2021,"Light Purple Micro Knob Bag",,,,19.99,19.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007240-1","Gear","Stationery",2022,"Notebook with Gel Pen Orange",,,14.99,19.99,19.99,16.99,4895028524401,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007535-1","Gear","Key Chains",2022,"Dr Flieber Key Chain",,,,14.99,16.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006864-1","Gear","Storage",2023,"Storage Brick Multi-Pack - 3 Pieces",,,,34.99,38.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007851-1","Gear","Jigsaw",2023,"Brick Botanicals 1,000-Piece Puzzle",,,15.99,22.99,29.99,18.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006868-1","Gear","Storage",2022,"2 Stud Storage Brick Black",,,,15.99,17.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006935-1","Gear","Storage",2022,"4 Stud Storage Brick Aqua Blue",,,,24.99,26.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006937-1","Gear","Storage",2022,"4 Stud Storage Brick Orange",,,,24.99,27.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007242-1","Gear","Stationery",2022,"Notebook with Gel Pen Lime",,,14.99,19.99,19.99,16.99,4895028524425,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007238-1","Gear","Stationery",2022,"Notebook with Gel Pen Violet",,,14.99,19.99,19.99,16.99,4895028524456,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007492-1","Gear","Plush",2022,"Ron Weasley Plush",,,,26.99,32.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006497-1","Gear","Bags",2021,"Light Purple Small Brick Backpack",,,44.99,39.99,39.99,49.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006496-1","Gear","Bags",2021,"Lime Small Brick Backpack",,,44.99,39.99,39.99,49.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006923-1","Gear","Storage",2022,"Brick Shelf Set Blue",,,,35.99,39.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006934-1","Gear","Storage",2022,"4 Stud Storage Brick Cool Yellow",,,,24.99,27.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006870-1","Gear","Storage",2022,"2 Stud Storage Brick Green",,,,15.99,17.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006932-1","Gear","Storage",2022,"4 Stud Storage Brick Pink",,,,24.99,27.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007032-1","Gear","Storage",2022,"Storage Brick 1 Stud White",,,,11.99,13.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006926-1","Gear","Storage",2022,"Brick Shelf Set Gray",,,,35.99,39.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006948-1","Gear","Storage",2022,"Classic Box Blue",,,,9.99,10.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006949-1","Gear","Storage",2022,"Classic Box Yellow",,,,9.99,10.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007272-1","Gear","Housewares",2022,"Hydration Bottle Lavender",,,15.99,11.99,13.99,17.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71413-10","Super Mario","Character Pack - Series 6",2023,"Character Pack Series 6 - Sealed Box",,,4.99,5.99,7.99,5.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007031-1","Gear","Storage",2022,"Storage Brick 1 Stud Black",,,,11.99,10.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006922-1","Gear","Storage",2022,"Brick Shelf Set Red",,,,35.99,39.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006924-1","Gear","Storage",2023,"Brick Shelf Set - Black",,,,35.99,39.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007649-1","Gear","Clothing",2022,"Red White T Shirt and Pants 2 Piece Set",,,,42,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007650-1","Gear","Clothing",2022,"Multicolored T Shirt and Pants 2 Piece Set",,,,42,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007651-1","Gear","Clothing",2022,"Grogu T Shirt and Pants 2 Piece Set",,,,42,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""







